PLAYER,YEAR,POS,NO SHOES,WITH SHOES,REACH,WEIGHT,WINGSPAN,WING DIFF,SHUTTLE,3/4 SPRINT,STD VERT,MAX VERT,BENCH,BODY FAT %,HAND L,HAND W
Cody Zeller,2013,BIG,82.75,84.25,106.0,230.0,82.75,0.00,2.69,3.15,35.5,37.5,17,4.8%,8.50,10.50
Cole Aldrich,2010,BIG,81.00,83.25,111.5,236.0,88.75,7.75,,3.35,23.0,28.0,10,8.5%,9.00,9.25
Coleman Collins,2007,BIG,80.00,81.75,107.0,236.0,86.00,6.00,,,30.0,35.0,21,6.2%,,
Collin Sexton,2018,PG,72.50,73.50,98.5,183.0,79.25,6.75,,,,,,5.6%,8.25,8.50
Colton Iverson,2013,BIG,82.50,84.00,110.0,262.8,86.00,3.50,3.04,3.52,26.5,30.0,12,9.6%,9.25,9.50
Cookie Belcher,2001,COMBO G,75.00,,99.0,206.0,80.50,5.50,,2.91,35.0,41.5,7,5.3%,,
Cordell Henry,2002,PG,68.00,,92.0,155.0,73.00,5.00,,3.04,33.0,37.5,1,,,
Corey Brewer,2007,WING,78.00,79.75,103.0,185.0,80.25,2.25,,3.22,30.5,36.5,11,4.2%,,
Corey Hawkins,2015,COMBO G,72.75,73.75,99.5,191.8,80.00,7.25,,3.51,28.5,34.0,9,5.5%,8.75,9.00
Corsley Edwards,2002,BIG,79.25,,106.5,285.0,82.75,3.50,,3.31,28.5,33.0,12,,,
Cory Hightower,2000,WING,77.50,,101.5,183.0,83.00,5.50,,3.37,29.5,34.5,0,,,
Cory Jefferson,2014,BIG,79.75,81.00,105.0,218.4,84.50,4.75,3.39,3.36,33.0,37.5,,5.3%,8.75,9.75
Cory Joseph,2011,PG,74.00,75.25,99.0,186.2,77.50,3.50,,3.27,27.5,35.0,5,9.7%,8.50,10.50
Craig Brackins,2010,COMBO F,80.50,81.75,109.0,229.0,84.00,3.50,,3.39,26.0,35.0,6,7.9%,9.50,11.25
Craig Bradshaw,2007,BIG,80.00,81.75,106.5,240.0,85.50,5.50,,3.54,26.0,28.0,12,12.1%,,
Craig Dawson,2002,WING,75.50,,102.0,200.0,78.25,2.75,,3.25,26.0,30.0,0,,,
Craig Smith,2006,BIG,77.50,78.50,103.5,259.0,81.50,4.00,,3.40,30.0,29.5,,12.2%,,
Curtis Borchardt,2002,BIG,82.75,,112.0,238.0,86.50,3.75,,3.63,24.0,27.0,7,,,
Curtis Stinson,2006,WING,73.75,74.75,97.5,208.0,77.00,3.25,,3.27,28.0,31.5,17,6.0%,,
Curtis Sumpter,2007,WING,78.00,79.75,104.0,227.0,81.50,3.50,,3.22,27.5,32.5,12,5.3%,,
Curtis Withers,2006,COMBO F,78.00,78.50,101.0,227.0,82.00,4.00,,3.10,35.0,36.5,14,5.0%,,
D.J. Augustin,2008,PG,70.00,71.50,94.5,171.5,75.50,5.50,,3.07,28.5,35.0,2,8.1%,,
D.J. Wilson,2017,BIG,80.75,82.50,109.5,234.4,87.00,6.25,,,,,,6.4%,9.25,10.25
D'Angelo Russell,2015,COMBO G,75.25,77.00,102.0,193.4,81.75,6.50,,,,,,8.3%,8.75,9.75
D'Or Fischer,2005,BIG,81.25,82.50,110.5,242.4,90.00,8.75,,3.50,28.0,30.5,2,,,
Daequan Cook,2007,WING,75.00,77.75,101.5,203.0,80.25,5.25,,3.22,30.0,34.5,4,7.0%,,
Dahntay Jones,2003,WING,76.75,,102.5,214.0,81.00,4.25,,3.11,30.0,39.5,,2.6%,,
DaJuan Summers,2009,WING,79.25,80.50,106.5,243.0,84.75,5.50,,3.17,29.5,34.5,15,6.6%,,
Dajuan Wagner,2002,COMBO G,72.75,,99.0,193.0,74.00,1.25,,3.22,28.0,35.0,16,,,
Dakari Johnson,2015,BIG,83.00,83.75,112.0,264.6,86.00,3.00,2.94,3.62,22.5,25.0,4,14.9%,9.25,10.50
Damian Jones,2016,BIG,82.25,83.50,107.0,243.6,87.75,5.50,3.12,3.20,36.0,37.0,,6.6%,8.75,10.50
Damian Lillard,2012,PG,73.75,74.75,95.5,188.8,79.75,6.00,,3.34,34.5,39.5,13,5.9%,8.75,9.75
Damien Wilkins,2004,WING,76.50,78.00,106.0,222.0,84.00,7.50,,3.15,26.5,31.0,15,7.3%,,
Damion James,2010,WING,78.25,79.75,107.0,226.6,84.75,6.50,,3.20,29.0,33.0,13,9.6%,9.25,8.50
Damon Hancock,2002,COMBO G,74.75,,99.5,203.0,78.00,3.25,,3.03,32.0,35.0,15,,,
Damon Reed,2000,BIG,80.50,,104.5,228.0,81.50,1.00,,3.31,27.5,31.5,4,,,
Damone Brown,2001,WING,80.25,,104.5,202.0,83.75,3.50,,3.27,32.0,37.0,6,6.7%,,
Damone Thornton,2001,BIG,78.75,,103.8,235.0,85.75,7.00,,3.20,33.5,37.5,19,8.0%,,
Damyean Dotson,2017,WING,76.50,77.50,100.0,205.2,81.00,4.50,3.03,3.13,31.5,38.0,,5.3%,8.50,9.25
Dan Grunfeld,2006,WING,76.75,78.00,99.0,216.0,78.25,1.50,,3.46,28.0,33.5,16,10.4%,,
Dan Langhi,2000,WING,81.00,,104.0,197.5,80.00,-1.00,,3.24,31.0,34.5,12,,,
Dan McClintock,2000,BIG,83.00,,107.0,250.0,85.50,2.50,,3.33,33.0,35.0,20,,,
Daniel Gafford,2019,BIG,81.25,82.50,110.0,237.6,86.25,5.00,3.19,3.25,32.5,36.5,5,5.9%,9.25,9.25
Daniel Hamilton,2016,WING,78.25,80.00,103.5,197.0,81.00,2.75,3.20,3.40,26.0,29.0,,6.0%,9.00,8.50
Daniel Horton,2006,COMBO G,72.50,74.25,96.5,198.0,79.00,6.50,,3.16,30.0,36.5,17,8.0%,,
Daniel Orton,2010,BIG,80.75,81.50,110.5,269.2,88.25,7.50,,3.39,24.0,30.5,13,13.8%,8.50,9.75
Danilo Pinnock,2006,COMBO G,74.75,76.00,100.5,204.0,79.50,4.75,,3.08,29.5,35.5,7,4.6%,,
Danny Granger,2005,WING,79.50,80.50,103.0,225.4,85.50,6.00,,3.34,31.0,34.0,10,,,
Danny Green,2009,WING,77.25,78.50,103.0,208.0,82.00,4.75,,3.30,29.0,33.0,15,5.6%,,
Dante Cunningham,2009,BIG,79.00,80.25,106.5,227.4,83.00,4.00,,3.26,28.0,35.0,18,4.8%,,
Dante Exum,2014,WING,76.50,78.00,103.0,196.3,81.50,5.00,2.88,3.19,31.5,34.5,,6.4%,8.50,9.50
DaQuan Jefferies,2019,COMBO F,76.00,77.00,104.0,215.6,83.25,7.25,,,,,,3.9%,9.50,10.25
Darington Hobson,2010,WING,77.25,78.50,104.5,203.6,81.25,4.00,,3.25,29.0,34.0,,6.2%,8.25,9.00
Darius Bazley,2019,COMBO F,79.75,81.00,17.0,208.4,84.00,4.25,2.95,3.27,30.5,37.0,4,3.6%,9.00,9.75
Darius Johnson-Odom,2012,WING,73.50,75.00,96.0,212.0,79.00,5.50,,3.21,33.5,41.5,17,7.0%,8.75,8.75
Darius Miller,2012,WING,78.00,79.50,101.0,233.4,81.00,3.00,,3.31,33.0,37.0,14,7.5%,8.50,8.75
Darius Morris,2011,COMBO G,75.25,77.25,102.0,190.0,79.50,4.25,,3.20,24.5,32.0,12,5.3%,8.75,10.00
Darius Songaila,2002,BIG,80.00,,108.5,240.0,85.00,5.00,,3.52,24.5,29.5,8,,,
Darius Washington,2006,PG,71.50,73.00,96.0,195.0,76.00,4.50,,3.26,29.0,37.5,9,9.7%,,
Darko Milicic,2003,BIG,83.50,,111.5,250.0,89.00,5.50,,3.36,26.5,32.5,13,8.0%,,
Darnell Jackson,2008,BIG,79.00,79.75,106.5,240.5,83.25,4.25,,3.26,27.0,31.0,11,12.5%,,
Darrell Arthur,2008,BIG,79.50,80.50,107.0,216.0,82.75,3.25,,3.14,28.5,30.0,12,7.3%,,
Darrell Johns,2001,BIG,83.25,,111.5,278.0,89.00,5.75,,3.59,23.5,30.0,18,19.1%,,
Darren Collison,2009,PG,72.25,73.50,96.5,166.2,75.00,2.75,,3.10,30.5,33.5,9,5.7%,,
Darren Kelly,2001,COMBO G,74.00,,100.0,178.0,78.75,4.75,,3.21,30.5,34.5,1,6.7%,,
Darryl Watkins,2007,BIG,80.75,82.25,110.0,241.0,87.00,6.25,,3.56,26.5,31.0,14,6.9%,,
Daryl Dorsey,2005,PG,71.25,72.50,94.0,160.8,71.50,0.25,,3.24,25.0,30.5,0,,,
DaShaun Wood,2007,PG,70.75,71.50,92.0,167.0,72.75,2.00,,3.23,31.5,34.5,13,5.4%,,
David Graves,2002,WING,76.50,,101.0,212.0,79.00,2.50,,3.27,26.0,29.5,8,,,
David Lee,2005,BIG,79.75,81.00,106.5,229.5,84.00,4.25,,3.19,30.5,32.5,14,,,
David Lighty,2011,WING,76.75,78.50,101.0,216.2,80.00,3.25,,3.25,28.5,33.0,15,6.5%,9.00,10.00
David Lucas,2005,BIG,78.50,79.75,103.5,233.4,84.00,5.50,,,,,17,,,
David Noel,2006,WING,76.50,78.00,100.0,223.0,81.50,5.00,,3.07,34.5,38.5,20,6.1%,,
David Padgett,2008,BIG,82.25,83.50,109.5,239.5,85.00,2.75,,3.45,24.0,28.0,17,9.0%,,
David Simon,2005,BIG,80.00,81.50,108.0,258.8,87.50,7.50,,3.44,28.0,33.0,18,,,
David West,2003,COMBO F,80.25,,108.3,226.0,88.25,8.00,,3.43,28.5,31.5,11,8.0%,,
Davon Jefferson,2008,WING,77.25,78.50,105.0,213.0,81.50,4.25,,3.36,27.0,32.0,2,12.0%,,
Davon Reed,2017,WING,76.50,77.50,102.0,206.2,84.00,7.50,3.21,3.34,28.5,36.0,,6.5%,9.25,9.50
De'Aaron Fox,2017,PG,74.00,75.25,100.0,169.6,78.50,4.50,,,,,,4.5%,8.50,8.50
DeAndre Bembry,2016,WING,76.25,77.75,101.0,206.6,81.25,5.00,2.87,3.17,32.0,38.0,,7.0%,8.00,9.25
DeAndre Daniels,2014,WING,79.25,80.50,106.5,196.0,86.00,6.75,3.04,3.44,26.5,32.0,,3.9%,9.25,10.50
DeAndre Jordan,2008,BIG,81.75,83.00,113.5,250.0,90.00,8.25,,3.27,26.0,30.5,8,7.5%,,
DeAndre Kane,2014,PG,74.75,76.50,99.5,199.9,80.00,5.25,2.85,3.16,31.5,35.5,,5.0%,8.25,9.00
DeAndre Liggins,2011,WING,77.00,78.25,103.5,202.2,83.00,6.00,,3.33,27.0,31.0,6,5.0%,8.75,10.00
DeAnthony Melton,2018,COMBO G,74.25,75.25,99.5,193.2,80.50,6.25,3.32,3.23,31.0,36.5,,5.2%,8.50,9.50
Dedric Lawson,2019,BIG,79.00,80.50,107.5,233.0,86.25,7.25,3.54,3.60,23.5,26.0,10,8.9%,9.75,9.75
Dedric Lawson 2016,2016,BIG,79.00,80.00,106.5,224.8,86.50,7.50,3.39,3.65,22.5,28.0,,11.1%,9.50,9.50
Dee Brown,2005,COMBO G,71.00,72.00,94.0,179.0,74.00,3.00,,,,,,,,
Deji Akindele,2005,BIG,81.50,83.00,108.5,236.4,87.00,5.50,,3.35,30.5,32.5,13,,,
DeJuan Blair,2009,BIG,77.25,78.50,106.5,276.6,86.00,8.75,,3.45,26.0,33.0,18,12.0%,,
Delon Wright,2015,PG,76.25,77.50,101.5,181.4,79.50,3.25,3.50,3.29,29.5,31.0,4,6.6%,8.00,8.50
Delonte West,2004,COMBO G,73.50,74.75,99.5,183.0,78.00,4.50,,3.15,30.0,35.0,12,6.7%,,
DeMar DeRozan,2009,WING,77.50,78.50,102.5,211.2,81.00,3.50,,3.31,29.0,38.5,5,4.9%,,
DeMarcus Cousins,2010,BIG,81.50,82.75,113.0,291.8,89.75,8.25,,3.55,23.5,27.5,,16.4%,9.25,10.00
DeMarcus Minor,2001,WING,75.25,,99.5,207.0,80.25,5.00,,3.15,29.0,41.0,9,6.7%,,
DeMarcus Nelson,2008,COMBO G,73.00,74.25,98.5,198.0,82.00,9.00,,3.13,34.5,38.5,19,4.5%,,
DeMarre Carroll,2009,COMBO F,78.25,79.75,105.0,207.2,82.00,3.75,,,,,,6.3%,,
Demetri McCamey,2011,PG,73.75,75.25,99.5,204.0,78.25,4.50,,3.19,27.0,33.0,,6.1%,8.50,9.00
Demetris Nichols,2007,WING,78.00,79.50,105.0,211.0,84.25,6.25,,3.38,28.5,32.5,16,6.2%,,
Demetrius Jackson,2016,PG,72.00,73.25,93.0,193.8,77.50,5.50,2.87,3.25,37.5,43.5,,6.5%,8.25,9.00
Demetrius Porter,2001,PG,70.75,,94.0,178.0,74.75,4.00,,3.34,26.0,31.0,5,12.4%,,
Deng Gai,2005,BIG,79.75,81.25,110.5,214.0,88.50,8.75,,3.27,31.5,35.5,11,,,
Denham Brown,2006,WING,76.00,77.00,102.5,218.0,81.50,5.50,,3.25,28.0,34.5,12,9.0%,,
Dennis Schroder,2013,PG,73.00,74.00,98.0,164.8,79.75,6.75,2.86,3.21,30.0,34.0,1,4.1%,8.75,10.50
Denzel Valentine,2016,WING,76.00,77.75,102.0,210.4,82.75,6.75,3.22,3.46,27.0,32.0,,9.2%,8.50,9.75
Deonte Burton,2014,PG,72.00,73.25,97.5,192.8,79.00,7.00,3.08,3.28,29.0,39.5,,7.7%,8.25,8.00
Deron Washington,2008,WING,77.25,78.25,102.5,198.5,81.00,3.75,,3.09,34.0,40.0,7,7.2%,,
Deron Williams,2005,PG,73.75,74.75,98.0,202.4,78.25,4.50,,3.25,30.0,35.0,15,,,
Derrick Brown,2009,COMBO F,79.50,80.50,107.5,224.6,86.50,7.00,,3.13,30.5,35.5,20,8.6%,,
Derrick Caracter,2010,BIG,80.25,81.50,107.5,280.0,84.25,4.00,,3.61,25.0,30.5,22,12.8%,9.00,10.25
Derrick Favors,2010,BIG,80.75,82.25,110.0,245.2,88.00,7.25,,3.25,31.5,35.5,14,6.5%,8.75,9.25
Derrick Rose,2008,PG,73.50,74.50,98.5,196.0,80.00,6.50,,3.05,34.5,40.0,10,4.6%,,
Derrick Walton Jr.,2017,PG,71.00,72.75,95.0,188.6,74.50,3.50,3.12,3.29,26.0,32.5,,5.8%,8.00,8.50
Derrick White,2017,PG,75.25,76.50,101.5,189.8,79.50,4.25,2.92,3.08,31.0,36.5,,6.2%,8.25,8.50
Derrick Williams,2011,COMBO F,79.25,80.75,108.0,248.4,85.50,6.25,,3.23,29.0,34.5,19,10.8%,9.00,9.75
Derrick Zimmerman,2003,PG,73.00,,96.3,190.0,81.00,8.00,,3.10,34.0,40.5,13,5.3%,,
DeSagana Diop,2001,BIG,82.00,,113.0,314.0,90.50,8.50,,3.56,21.5,25.5,15,21.0%,,
Deshaun Thomas,2013,WING,77.00,79.00,104.0,219.8,82.00,5.00,3.38,3.53,28.5,32.0,5,9.1%,8.00,8.75
Desmon Farmer,2004,WING,76.50,77.75,103.0,214.0,80.50,4.00,,3.20,24.0,31.0,12,5.3%,,
Devin Booker,2015,WING,76.50,77.75,102.5,205.8,80.25,3.75,2.75,3.28,27.5,34.5,8,8.3%,8.75,9.00
Devin Ebanks,2010,WING,79.00,80.25,107.5,207.8,84.25,5.25,,3.44,23.5,32.0,6,7.9%,8.25,9.00
Devin Harris,2004,PG,73.75,75.00,98.5,170.0,79.50,5.75,,3.19,30.5,37.0,5,5.3%,,
Devin Robinson,2017,WING,79.00,80.25,106.0,189.6,84.75,5.75,3.61,3.23,35.5,41.5,,3.2%,9.25,10.25
Devon Dotson,2019,PG,72.00,74.00,95.5,178.6,75.25,3.25,2.80,3.04,30.0,38.5,7,5.9%,8.25,9.50
Devon Hall,2018,WING,76.25,78.00,102.0,206.4,79.75,3.50,3.15,3.27,25.0,31.0,,8.5%,8.50,10.00
DeVon Hardin,2008,BIG,81.50,82.75,109.5,235.0,87.00,5.50,,3.33,29.5,32.0,20,5.8%,,
Devonte Graham,2018,PG,72.25,73.50,96.0,186.4,78.25,6.00,3.14,3.21,31.0,37.0,,4.8%,8.50,9.50
Devyn Marble,2014,WING,77.00,78.50,102.0,192.4,81.00,4.00,3.08,3.28,29.0,35.0,,6.9%,8.25,8.50
Dewan Hernandez,2019,BIG,81.00,82.25,107.0,232.8,85.75,4.75,3.25,3.28,30.5,35.5,13,6.1%,9.50,10.25
Dewayne Dedmon,2013,BIG,82.00,83.50,109.0,238.8,88.00,6.00,3.26,3.40,28.0,32.5,8,8.4%,9.00,11.00
Dexter Pittman,2010,BIG,81.50,83.50,111.0,302.6,90.00,8.50,,,,,,20.8%,10.25,10.50
Deyonta Davis,2016,BIG,81.25,82.50,108.5,237.2,86.50,5.25,,,,,,9.7%,9.00,9.25
Dez Wells,2015,WING,75.00,76.00,100.5,208.8,81.50,6.50,3.05,3.20,31.5,39.0,15,8.1%,8.75,9.75
Diamond Stone,2016,BIG,81.00,82.25,108.5,254.4,86.75,5.75,3.22,3.50,27.0,29.5,,12.9%,8.50,7.75
Dijon Thompson,2005,WING,78.25,80.00,105.5,195.8,81.75,3.50,,,,,,,,
Dillon Brooks,2017,WING,77.00,78.00,100.5,220.2,78.00,1.00,3.24,3.21,31.0,37.5,,7.5%,8.25,9.25
Dion Waiters,2012,WING,74.50,76.00,98.0,221.0,79.25,4.75,,,,,,8.5%,8.50,9.50
Dionte Christmas,2009,WING,76.25,77.50,102.5,210.8,81.00,4.75,,3.21,27.0,33.5,3,7.1%,,
DJ Strawberry,2007,WING,75.75,77.00,101.0,199.0,78.50,2.75,,3.14,28.5,35.0,21,4.5%,,
Dominic James,2007,PG,70.00,71.75,93.0,175.0,74.00,4.00,,3.11,33.5,38.5,14,4.8%,,
Dominic McGuire,2007,WING,79.00,80.25,104.0,220.0,82.50,3.50,,3.25,28.5,34.5,12,4.7%,,
Dominique Jones,2010,WING,75.25,77.00,101.0,216.0,81.25,6.00,,3.31,26.0,32.5,19,5.9%,9.00,10.25
Donald Little,2003,BIG,81.50,,97.0,229.0,87.00,5.50,,3.20,33.0,37.0,18,7.3%,,
Donnell Harvey,2000,BIG,79.25,,105.5,220.0,84.50,5.25,,,33.0,32.5,15,,,
Donovan Mitchell,2017,WING,73.25,75.00,97.0,211.4,82.00,8.75,3.07,3.01,36.5,40.5,,5.9%,8.50,9.50
Donte DiVincenzo,2018,WING,75.50,76.50,97.5,200.6,78.00,2.50,3.11,3.11,34.5,42.0,,5.0%,8.25,9.00
Donte Greene,2008,COMBO F,80.25,81.00,108.0,221.0,82.00,1.75,,3.20,27.5,31.5,2,7.6%,,
Dorian Finney-Smith,2016,WING,78.50,79.75,105.5,212.6,83.75,5.25,3.04,3.27,32.5,35.5,,6.5%,9.00,9.75
Doron Lamb,2012,COMBO G,75.25,76.75,98.5,199.4,78.75,3.50,,3.41,29.0,33.5,2,6.7%,8.50,8.75
Doug McDermott,2014,WING,78.25,79.75,103.0,218.0,81.25,3.00,3.15,3.29,28.5,36.5,,7.1%,8.75,9.75
Doug Wrenn,2003,COMBO F,77.75,,100.5,220.0,91.50,13.75,,3.17,34.5,41.0,15,7.3%,,
Drago Pasalic,2005,COMBO F,81.50,83.00,108.5,238.8,83.75,2.25,,3.48,25.0,30.5,11,,,
Draymond Green,2012,COMBO F,77.75,79.50,105.0,235.6,85.25,7.50,,3.40,28.0,33.0,9,11.3%,9.00,9.50
Drew Gooden,2002,BIG,80.75,,106.5,227.0,84.50,3.75,,3.19,29.0,33.0,13,,,
Drew Gordon,2012,BIG,80.00,80.75,103.5,239.0,83.50,3.50,,3.49,29.0,34.0,10,9.1%,8.50,9.75
Drew Neitzel,2008,PG,71.75,72.75,95.0,175.5,74.50,2.75,,3.20,25.5,32.0,10,6.2%,,
Dustin Salisbery,2007,WING,75.00,76.75,100.5,208.0,80.00,5.00,,3.12,34.0,38.0,11,6.6%,,
Dwayne Bacon,2017,WING,76.75,78.25,103.5,221.6,82.00,5.25,3.22,3.22,30.0,36.5,,7.9%,8.75,10.00
Dwayne Jones,2005,BIG,80.50,82.00,108.5,242.2,86.75,6.25,,3.25,28.0,31.5,15,,,
Dwayne Mitchell,2006,WING,74.00,75.25,98.5,208.0,78.50,4.50,,3.16,37.5,41.5,17,4.5%,,
Dwight Howard,2004,BIG,81.00,82.25,111.5,240.0,88.50,7.50,,3.14,30.5,35.5,7,10.5%,,
Dwight Powell,2014,BIG,81.50,83.00,105.0,234.4,84.50,3.00,2.88,3.20,28.5,35.0,,6.2%,9.00,9.25
Dwyane Wade,2003,WING,75.75,,102.0,212.0,82.75,7.00,,3.08,31.5,35.0,9,6.7%,,
Dylan Page,2004,WING,79.50,80.75,105.0,239.0,79.00,-0.50,,3.40,26.0,30.0,17,12.3%,,
Dylan Windler,2019,COMBO F,78.25,79.50,104.5,195.8,82.00,3.75,2.94,3.30,29.0,37.5,8,4.6%,8.25,9.50
E'Twaun Moore,2011,WING,74.50,76.00,99.5,191.4,81.50,7.00,,3.31,32.0,34.5,,7.6%,9.00,10.00
Earl Clark,2009,COMBO F,80.50,82.25,109.5,228.4,86.50,6.00,,3.35,28.5,33.0,5,5.2%,,
Earl Watson,2001,PG,72.00,,97.0,184.0,78.75,6.75,,3.19,32.5,37.5,4,4.0%,,
Ebi Ere,2003,WING,75.50,,102.0,210.0,82.50,7.00,,3.16,29.5,33.5,,14.1%,,
Ed Cota,2000,PG,72.25,,96.5,189.0,76.00,3.75,,3.24,26.5,33.5,1,,,
Ed Davis,2010,BIG,81.00,81.75,108.0,226.6,84.00,3.00,,3.21,31.0,36.0,,10.0%,9.25,10.00
Eddie Basden,2005,WING,76.25,77.50,101.0,210.0,82.25,6.00,,3.21,33.0,36.5,14,,,
Eddie Gill,2000,PG,71.75,,93.0,176.0,76.00,4.25,,3.18,35.0,38.5,13,,,
Eddie Griffin,2001,COMBO F,81.25,,110.0,222.0,87.00,5.75,,3.21,26.5,33.0,3,4.0%,,
Eddie House,2000,COMBO G,71.75,,95.0,176.5,75.50,3.75,,3.27,29.5,38.5,5,,,
Eddy Curry,2001,BIG,82.50,,111.0,301.0,90.50,8.00,,3.53,28.0,31.0,16,16.5%,,
Eddy Fobbs,2005,BIG,82.25,83.25,111.5,235.2,90.75,8.50,,3.28,29.5,34.0,12,,,
Edmond Sumner,2017,PG,76.00,77.75,102.5,176.4,81.00,5.00,,,,,,8.3%,8.25,9.00
Edrice Adebayo,2017,BIG,80.75,81.75,108.0,242.6,86.75,6.00,3.24,3.24,33.5,38.5,,5.2%,9.50,8.75
Eduardo Najera,2000,COMBO F,78.50,,104.5,234.5,83.50,5.00,,3.45,28.0,35.0,15,,,
Ekene Ibekwe,2007,BIG,80.00,81.00,104.0,208.0,90.00,10.00,,3.28,34.5,39.0,10,3.2%,,
Ekpe Udoh,2010,BIG,80.75,81.75,106.5,237.4,88.50,7.75,,3.29,31.0,33.5,10,8.0%,9.50,8.75
Elfrid Payton,2014,PG,74.50,75.75,98.5,185.4,80.00,5.50,2.92,3.23,31.5,35.5,,5.7%,8.75,9.00
Elgin Cook,2016,WING,77.00,78.25,100.5,209.8,82.00,5.00,,,,,,6.4%,8.50,10.25
Ellis Myles,2005,BIG,78.00,79.25,105.5,255.2,81.75,3.75,,3.42,26.0,28.5,15,,,
Elvin Mims,2002,WING,76.25,,105.5,211.0,85.50,9.25,,3.22,32.0,38.0,7,,,
Emeka Okafor,2004,BIG,80.75,82.00,110.5,257.0,88.00,7.25,,3.15,31.5,34.0,22,5.3%,,
Enes Kanter,2011,BIG,81.75,83.25,109.5,259.2,85.50,3.75,,3.26,26.0,32.5,14,5.9%,9.50,10.75
Eric Bledsoe,2010,PG,72.25,73.50,98.0,191.6,79.50,7.25,,,,,9,5.6%,8.50,9.75
Eric Chenowith,2001,BIG,85.00,,111.0,264.0,88.00,3.00,,3.59,23.5,27.5,6,12.9%,,
Eric Coley,2000,WING,76.00,,102.0,205.0,83.00,7.00,,3.15,35.0,38.0,10,,,
Eric Gordon,2008,WING,74.00,75.25,99.0,222.0,81.00,7.00,,3.01,32.0,40.0,15,8.2%,,
Eric Hicks,2006,BIG,76.75,77.50,105.5,238.0,85.50,8.75,,3.34,30.0,34.0,20,7.1%,,
Eric Maynor,2009,PG,74.25,75.25,97.0,163.6,74.50,0.25,,3.19,28.5,31.5,8,5.4%,,
Eric Mika,2017,BIG,80.50,81.75,106.5,232.8,82.00,1.50,2.96,3.38,29.0,32.0,,6.5%,8.25,8.75
Eric Paschall,2019,COMBO F,78.00,79.25,103.5,254.4,83.75,5.75,3.26,3.30,33.0,38.0,18,6.3%,9.00,9.50
Eric Williams,2006,BIG,79.25,80.75,106.5,285.0,88.25,9.00,,3.56,28.5,29.0,17,13.0%,,
Erick Green,2013,PG,73.50,75.00,98.0,178.2,77.75,4.25,,,,,5,4.4%,8.50,9.00
Erik Daniels,2004,COMBO F,78.25,79.50,106.0,223.0,83.00,4.75,,3.19,31.0,32.0,4,18.5%,,
Erik Murphy,2013,BIG,80.75,81.50,108.0,239.8,82.50,1.75,2.96,3.57,24.5,29.5,13,8.0%,8.75,9.75
Ernest Brown,2000,BIG,82.00,,109.5,222.5,85.25,3.25,,,,,2,,,
Ersan Ilyasova,2005,WING,79.75,81.00,109.5,208.8,85.25,5.50,,3.56,22.0,30.0,2,,,
Evan Turner,2010,WING,77.75,79.00,103.5,213.8,80.00,2.25,,3.27,27.5,34.5,9,8.6%,8.75,9.50
Fab Melo,2012,BIG,82.75,84.00,110.0,255.0,86.50,3.75,,3.44,29.5,31.0,9,9.2%,9.00,10.00
Festus Ezeli,2012,BIG,81.75,83.50,108.0,264.2,89.75,8.00,,3.29,34.0,33.5,18,5.5%,9.00,10.75
Francisco Garcia,2005,WING,77.75,79.00,103.0,189.6,82.75,5.00,,3.33,27.5,31.5,5,,,
Frank Elegar,2008,BIG,79.25,80.75,106.0,210.0,87.25,8.00,,3.17,33.5,37.5,11,4.5%,,
Frank Jackson,2017,PG,74.00,75.50,98.0,201.6,79.50,5.50,2.70,3.14,34.5,42.0,,6.7%,8.25,9.00
Frank Kaminsky,2015,BIG,83.75,84.75,109.5,231.2,83.00,-0.75,,,,,,9.4%,8.50,9.50
Frank Mason III,2017,PG,71.00,72.00,94.0,188.8,75.25,4.25,3.09,3.18,34.0,41.0,,4.3%,8.00,9.25
Frank Williams,2002,PG,73.50,,100.5,212.0,80.00,6.50,,3.29,26.0,31.0,,,,
Frans Steyn,2006,BIG,85.25,86.50,109.0,280.0,86.25,1.00,,3.38,28.5,29.5,,12.8%,,
Fred Jones,2002,WING,74.25,,100.0,218.0,84.00,9.75,,3.13,33.5,37.5,,,,
Gabe Muoneke,2000,COMBO F,78.25,,105.0,244.0,84.50,6.25,,3.40,30.5,34.0,22,,,
Gani Lawal,2010,BIG,79.50,81.00,107.5,233.4,84.00,4.50,,3.24,27.0,31.5,20,6.3%,8.50,10.00
Gary Forbes,2008,WING,76.50,77.75,104.5,220.5,83.25,6.75,,3.25,27.5,33.5,13,6.5%,,
Gary Harris,2014,WING,74.50,76.50,96.0,204.8,78.75,4.25,,,,,,4.6%,8.50,9.50
Gary Payton II,2016,PG,74.00,75.00,99.5,183.8,80.00,6.00,3.17,3.23,31.5,38.5,,4.0%,8.75,9.50
Gary Trent,2018,WING,76.25,77.75,98.0,204.2,80.75,4.50,3.08,3.12,33.5,39.5,,7.0%,8.50,9.50
George de Paula,2015,PG,76.50,77.50,104.0,197.0,84.00,7.50,3.16,3.45,28.0,34.0,6,6.7%,9.50,10.50
George Hill,2008,PG,73.25,74.50,97.5,181.0,81.00,7.75,,3.07,34.0,37.5,9,3.0%,,
George King,2018,WING,76.75,78.00,101.5,218.6,83.50,6.75,3.08,3.29,31.0,39.0,,7.3%,9.00,10.25
George Williams,2002,COMBO F,77.75,,103.0,214.0,84.50,6.75,,3.24,33.5,39.0,11,,,
